id,name,party,sector,country
ul,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,Die Linke,Politik,Deutschland
cs,Constanze Stelzenmüller,,Recht,USA
500,Folge 500,,,
CDU,Partei CDU,,,
SPD,Partei SPD,,,
Die Linke,Partei Die Linke,,,
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,,Geschichte,Deutschland
lm,Ljudmyla Melnyk,,Wissenschaft,Ukraine
kd,Kristina Dunz,,Journalismus,Deutschland
el,Egils Levits,,internationale Politik,Lettland
501,Folge 501,,,
FDP,Partei FDP,,,
ab,Annalena Baerbock,Bündnis 90/​Die Grünen,Politik,Deutschland
ft,Frans Timmermans,,internationale Politik,Niederlande
am,Andrij Melnyk,,internationale Politik,Ukraine
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,,Militär,Deutschland
502,Folge 502,,,
rh,Robert Habeck,Bündnis 90/​Die Grünen,Politik,Deutschland
cm,Claudia Major,,Wissenschaft,Deutschland
kp,Katja Petrowskaja,,Journalismus,Deutschland
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
503,Folge 503,,,
Bündnis 90/​Die Grünen,Partei Bündnis 90/​Die Grünen,,,